datetime,low,high,open,close,volumefrom,volumeto
10/12/2017 06:00,448.94,457.6,453.09,456.32,5603.67,2546375.96
10/12/2017 07:00,451.13,458.48,456.32,454.77,4476.03,2038252.55
10/12/2017 08:00,447.02,456.96,454.77,451.81,4505.77,2027602.74
10/12/2017 09:00,450,458.83,451.81,456.23,3349.25,1520081.05
10/12/2017 10:00,453,459,456.23,453.01,2421.27,1102363.43
10/12/2017 11:00,450.02,455.99,453.01,451.94,2919.06,1322732.23
10/12/2017 12:00,451.05,453.21,451.94,451.07,2530.6,1143841.22
10/12/2017 13:00,451.06,462.35,451.07,462.14,6800.09,3108104.88
10/12/2017 14:00,450.86,464.99,462.14,453.47,9305.63,4262432.21
10/12/2017 15:00,449.23,459.96,453.47,459.67,8546.98,3885410.93
10/12/2017 16:00,457,464.38,459.67,460.5,7097.9,3274213.77
10/12/2017 17:00,459,468.42,460.5,467,10035.8,4668089.81
10/12/2017 18:00,462.47,469,467,464.14,6099.05,2843850.76
10/12/2017 19:00,456.27,465.79,464.14,458.29,8040.51,3710320.69
10/12/2017 20:00,455.1,466.01,458.29,457.74,10166.29,4662472.98
10/12/2017 21:00,445,462.11,457.74,448.12,13277.17,5999639.14
10/12/2017 22:00,445.01,451.5,448.12,445.02,6255.07,2807187.31
10/12/2017 23:00,440.44,455,445.02,447.71,12277.86,5490621.42
11/12/2017 00:00,445.75,456.73,447.71,456.24,5387.71,2428657.82
11/12/2017 01:00,452.12,457.05,456.24,454.5,7054.46,3216911.08
11/12/2017 02:00,454.5,462.93,454.5,462.42,6386.26,2923094.5
11/12/2017 03:00,458.53,467.73,462.42,461.68,14598.45,6781094.04
11/12/2017 04:00,461.68,466.92,461.68,463.6,6218.35,2885047.4
11/12/2017 05:00,463.59,468.92,463.6,466.91,6122.71,2854126.3
11/12/2017 06:00,466.9,474.16,466.91,470.45,8960.35,4224502.13
11/12/2017 07:00,467.35,472.71,470.45,468.46,3637.89,1709640.36
11/12/2017 08:00,465.13,470.88,468.46,466.48,2790.4,1308597.27
11/12/2017 09:00,465.18,470.69,466.48,470.69,2419.88,1131234.48
11/12/2017 10:00,468.9,474.64,470.69,469.65,3997.77,1884522.49
11/12/2017 11:00,466.51,470.65,469.65,468.34,2966.44,1388900.24
11/12/2017 12:00,468.03,474.76,468.34,474.67,3632.19,1719978.72
11/12/2017 13:00,470.65,477.4,474.67,477.3,10215.17,4843541.08
11/12/2017 14:00,473,480.98,477.3,474.37,13363.54,6389945.12
